6.4673,225.1,78.2,55,29.47,1.26,47.9
9.4293,242.4,65.5,66.1,28.51,0.76,23.4
9.4986,242.4,70.7,67.7,28.64,0.7,48.4
9.476,257.1,67.3,68.2,29.08,0.77,37.3
7.6488,238.1,71.7,57.2,27.58,0.95,38.6
7.3895,261.1,60.9,62.3,29.34,1.02,33.9
9.1652,261.1,68.7,65.3,28.14,1.14,40.2
7.4426,252,70.7,62.3,29.67,1.16,39.7
7.3775,238.2,65.3,61.4,30.04,1.05,36.2
7.8969,251,67.4,63,28.83,0.83,34.5
8.755,242.6,73.8,65.8,28.72,0.9,33.3
7.7309,248.2,60.3,64.2,30.13,1.23,44.6
9.4388,256.6,61.3,68.1,28.62,0.91,33.9
9.0225,265.5,59.8,63.8,28.14,0.9,39.1
7.1945,235.4,58.3,57.6,29.88,1.53,39.3
7.7147,240.8,71.4,59.7,28.48,0.74,41.7
8.3082,248.8,60.5,61.8,28.52,0.93,21.2
10.1185,251.1,70.6,69.1,28.11,0.91,48.4
7.0209,240.9,66.5,62.7,29.78,0.75,31.6
8.0647,253.6,64.3,62.4,28.46,1.01,42.6
7.7155,249.9,63.5,67.9,30.79,0.86,29.2
7.7808,249,74,65,30.2,0.76,32.4
7.0081,232.8,75.5,54.7,28.43,1.16,40
8.1518,242.5,69.3,60.9,27.78,1,37
7.5486,241.9,76.7,65.2,30.74,0.73,35.6
6.9462,228.1,70.4,59,30.22,1,51.4
9.8701,253.8,62.7,68.2,29.36,0.66,38.8
9.2063,246.3,69,66.4,28.17,0.81,37.3
10.6124,269.3,66.4,71.6,28.31,0.94,50
7.3346,238.7,70.6,58.3,29.08,0.86,43.9
7.9217,232.1,66.6,60.8,28.98,0.78,46
9.2966,242.7,68.4,62.2,27.69,0.94,49.3
9.2121,229.8,77.1,65.5,28.72,1.07,50
7.2502,244.3,70.9,63.1,30.04,0.85,50
7.3446,237.8,71.4,59.2,28.12,1.06,30.2
7.6213,247,59.8,60.1,28.83,1.13,42.6
7.5612,257.9,65.6,61.9,28.98,1.07,38.6
7.4193,244.2,65.5,67.3,30.62,0.9,27.7
7.2818,251.4,61.2,57,29.32,1.24,53.2
7.963,233.7,77.7,64,30.3,1,47.5
9.0249,249.3,70.4,66.9,28.79,1.01,37.7
8.7311,250.2,65.7,65.1,28.38,0.84,39.1
6.0042,230.6,78.8,56.9,29.67,1.05,50
5.5563,236.2,56.8,56,30.52,1.13,24.4
7.3615,240.8,69.5,61,29.6,1.13,36.7
8.0631,243.8,75.5,66.1,29.73,0.83,32
7.5353,246.3,70.2,64.6,30.2,0.74,40.5
7.1879,245.3,66.2,62,29.63,0.92,33.3
8.8052,242.6,69.4,62.5,28.69,1.24,42.5
8.9619,259.2,65.4,66.4,28.85,0.84,34.2
6.7628,247.2,71.7,66.5,31.51,0.81,44.2
7.7011,268.5,54.1,60.8,28.88,1.27,30.3
8.1816,238.6,68.6,61.4,29.46,0.9,60
7.4055,255.3,70.8,66.7,30.98,0.96,21.6
7.5614,245.4,69.2,63.2,28.68,0.75,27.3
7.1551,246.6,70.1,64.7,31.36,0.9,42.9
7.578,247.9,68.8,62.2,28.53,0.88,46.2
8.6774,243.2,66.9,62.1,28.04,0.93,52.3
9.5105,245.3,72.6,67.6,28.73,0.95,43.4
5.7986,236.6,73.7,63,31.77,1.04,27.8
6.9552,231.1,70.4,61.1,30.41,0.82,31.3
6.624,244.4,66,59.9,30.52,1.04,25
7.4483,251.9,66.5,63,28.59,0.66,24.4
6.0901,255.7,53.9,60.6,31.32,1.02,29.2
8.2332,258.4,65.3,63.9,29.21,1.18,34.2
7.142,243,59,53.7,29.79,1.54,32.4
8.82,256.4,66.4,63.9,28.6,0.68,52.9
6.9257,248.1,65.2,64.7,30.52,0.84,34
7.1127,246.9,52.2,55.1,27.56,1.09,37.5
9.6066,247,70,68.9,28.53,0.73,47.9
8.6925,253.1,59.2,62.6,29.16,1.13,45.1
9.4762,254.4,67.1,68,28.19,1.01,33.7
8.7267,263.6,68.2,65.7,28.58,0.86,37.9
7.4237,267.7,67.2,66.7,30.8,1.06,28.3
7.6477,240.4,78.3,66.4,30.42,1.02,31.8
7.4479,239.4,65.7,59.5,29.17,1.17,30.9
6.2003,261.5,62.7,62.1,30.59,1.03,40
8.0792,250.4,68.4,67.4,29.01,0.62,20.5
